MGI:107734	Ap3d1
MGI:107736	Dync2h1
MGI:107739	Casp3
MGI:107741	Pvr
MGI:107742	Stra6
MGI:107743	Dync1i1
MGI:107745	Dctn1
MGI:107750	Dync1i2
MGI:107754	Neurog1
MGI:107755	Neurod2
MGI:107756	hb
MGI:107760	Chka
MGI:107765	Apbb1
MGI:107771	Abr
MGI:107776	Gadd45b
MGI:107785	Mesp1
MGI:107792	Lhx5
MGI:107793	Crmp1
MGI:107795	Hnrnpc
MGI:107799	Gadd45a
MGI:107810	Tfam
MGI:107811	Nptx1
MGI:107813	Tubb3
MGI:107814	Tubb1
MGI:107817	Serpina5
MGI:107818	Mrc2
MGI:107821	Has2
MGI:107822	Ebp
MGI:107823	Ctsk
MGI:107824	Ccr4
MGI:107825	Adam8
MGI:107846	Prmt1
MGI:107852	Gp1bb
MGI:107854	Dgcr14
MGI:107877	Prkcsh
MGI:107887	Gtf3c1
MGI:107892	Fam3c
MGI:107899	Cd36
MGI:107912	Ssrp1
MGI:107913	Tial1
MGI:107914	Tia1
MGI:107917	Stra8
MGI:107924	Wnt8a
MGI:107926	Rock2
MGI:107927	Rock1
MGI:107928	Aldh1a2
MGI:107929	Pip5k1a
MGI:107930	Pip5k1b
MGI:107931	Sqstm1
MGI:107932	Ndufs6
MGI:107933	Mns1
MGI:107934	Mdm4
MGI:107935	Lrig1
MGI:107936	Il18
MGI:107940	Ezh2
MGI:107941	Emp1
MGI:107945	Zfp36l2
MGI:107946	Zfp36l1
MGI:107949	Rhob
MGI:107956	Slc8a1
MGI:107973	Igfals
MGI:107976	Slc8a3
MGI:107978	Klc1
MGI:107979	Kif3c
MGI:107995	Upf1
MGI:107996	Slc8a2
MGI:108002	Orch5
MGI:108003	Orch4
MGI:108005	Myd88
MGI:108007	Kcnj9
MGI:108009	Alppl2
MGI:108011	Nobox
MGI:108012	Sebox
MGI:108013	Uncx
MGI:108014	Polr1b
MGI:108015	Nkx3-2
MGI:108016	Rad21
MGI:108018	Ntsr2
MGI:108022	Pkn1
MGI:108023	Cited1
MGI:108024	Rgn
MGI:108025	Prkar2a
MGI:108026	Tcpm1
MGI:108027	Ptprv
MGI:108028	Atr
